order_item_id,order_id,product_id,quantity,unit_price
1,1,40,3,17.49
2,1,25,5,14.36
3,1,53,2,76.29
4,2,68,9,66.11
5,2,21,1,108.29
6,3,1,1,54.67
7,3,98,5,12.84
8,3,84,10,5.39
9,3,58,8,34.97
10,3,95,8,21.76
11,4,97,8,28.94
12,4,18,3,30.94
13,4,76,2,21.30
14,5,82,3,10.81
15,5,34,5,41.19
16,5,85,9,7.36
17,6,98,1,14.08
18,6,40,1,21.88
19,6,75,10,10.62
20,6,47,4,12.54
21,6,84,5,4.99
22,6,87,8,9.99
23,7,80,2,35.72
24,7,40,4,21.89
25,8,47,10,13.01
26,9,75,10,12.23
27,9,5,10,50.37
28,10,66,3,28.26
29,10,53,4,73.98
30,11,65,9,21.50
31,11,69,2,30.42
32,11,54,5,48.84
33,12,40,6,18.95
34,12,17,6,176.74
35,12,98,3,14.23
36,12,68,8,79.15
37,13,72,7,33.53
38,13,40,6,16.50
39,13,3,6,184.09
40,13,61,8,43.81
41,14,40,1,18.19
42,14,97,7,24.21
43,14,43,3,58.32
44,14,79,2,25.42
45,15,98,6,12.88
46,15,3,9,224.99
47,15,18,1,28.83
48,15,58,6,36.01
49,15,62,3,40.27
50,16,40,9,18.64
51,16,42,1,103.63
52,16,43,1,54.58
53,16,76,9,19.91
54,16,24,7,125.90
55,17,40,1,20.30
56,17,65,2,19.35
57,17,3,7,218.75
58,17,5,3,54.91
59,18,10,9,11.91
60,18,74,3,9.95
61,18,80,10,34.44
62,18,55,4,37.69
63,18,89,5,6.58
64,18,91,7,58.66
65,19,98,7,13.72
66,19,40,2,17.90
67,19,12,7,95.85
68,19,82,8,12.73
69,19,50,9,100.01
70,20,2,2,79.23
71,20,36,10,14.43
72,20,42,7,111.00
73,20,43,8,69.42
74,20,54,10,51.40
75,21,67,2,56.70
76,22,58,8,32.49
77,23,38,4,32.06
78,23,77,8,30.61
79,23,52,5,10.42
80,23,21,3,107.84
81,23,63,10,17.30
82,24,1,6,50.19
83,24,72,4,42.19
84,24,46,8,20.36
85,24,82,2,12.55
86,24,84,7,5.36
87,25,2,7,68.55
88,25,10,9,14.01
89,25,18,9,33.30
90,25,89,1,5.80
91,25,58,7,33.50
92,25,31,5,40.81
93,26,70,6,90.46
94,26,40,5,19.28
95,26,25,4,15.25
96,26,58,3,40.73
97,26,93,8,46.97
98,27,40,8,17.22
99,28,100,4,22.63
100,29,72,1,34.88
101,29,58,10,37.21
102,30,8,6,46.54
103,30,66,4,28.02
104,31,40,6,20.55
105,31,97,7,26.79
106,31,47,9,14.84
107,32,32,10,30.18
108,32,33,9,24.99
109,32,67,7,61.52
110,32,13,10,49.90
111,32,60,10,17.02
112,33,33,8,25.36
113,33,34,6,45.96
114,33,98,1,11.61
115,33,1,8,43.80
116,33,63,8,19.79
117,33,95,9,20.43
118,34,36,7,14.16
119,35,98,5,15.28
120,35,40,7,20.44
121,35,52,8,11.52
122,35,87,5,10.71
123,35,58,9,37.89
124,35,93,6,59.18
125,36,42,6,95.49
126,36,3,4,213.44
127,37,98,1,14.44
128,37,100,6,24.24
129,37,42,1,97.31
130,37,58,6,36.77
131,37,29,6,41.91
132,38,40,8,20.05
133,38,2,5,75.57
134,38,55,1,32.04
135,39,65,8,20.79
136,39,98,9,14.45
137,39,100,1,29.42
138,39,86,10,7.53
139,39,89,3,6.70
140,40,7,1,76.90
141,40,46,9,20.31
142,40,81,4,16.16
143,40,18,1,35.08
144,40,87,6,9.56
145,40,89,3,6.70
146,41,2,1,82.22
147,41,68,9,62.85
148,41,42,5,85.78
149,41,77,8,30.89
150,41,46,10,18.47
151,42,72,1,38.42
152,42,46,9,20.29
153,43,18,8,29.07
154,43,51,2,19.19
155,43,86,2,7.07
156,44,40,3,16.26
157,44,64,4,33.01
158,45,67,4,67.46
159,45,38,3,33.85
160,45,42,7,90.74
161,45,10,3,14.94
162,45,77,10,33.08
163,45,86,4,7.40
164,46,40,5,22.06
165,46,32,5,35.69
166,47,54,6,54.93
167,48,98,10,11.94
168,48,26,7,12.98
169,48,72,5,35.06
170,48,86,9,7.13
171,48,58,5,36.38
172,48,60,4,14.34
173,49,40,3,19.26
174,49,33,8,28.35
175,49,97,6,26.48
176,50,65,1,23.28
177,50,4,8,20.68
178,50,42,2,91.48
179,50,74,6,8.68
180,50,60,8,15.47
181,51,3,7,194.98
182,51,50,4,106.42
183,51,86,6,7.24
184,51,60,8,17.00
185,51,30,5,31.33
186,52,98,9,14.99
187,53,46,10,23.44
188,54,24,9,148.38
189,54,25,10,13.92
190,54,40,3,20.69
191,54,60,1,17.32
192,55,40,6,20.77
193,56,32,5,30.11
194,56,50,4,93.09
195,56,43,7,71.17
196,56,68,4,63.43
197,57,70,8,79.29
198,57,87,2,9.00
199,58,33,8,27.46
200,58,58,2,38.13
201,58,43,6,61.67
202,58,52,3,12.24
203,59,80,7,38.54
204,59,84,6,4.78
205,59,86,10,7.83
206,59,95,10,18.38
207,60,42,1,91.64
208,60,84,7,4.90
209,61,68,4,64.53
210,62,33,6,27.99
211,63,40,1,21.11
212,63,42,7,89.24
213,63,68,7,65.48
214,63,47,2,13.80
215,64,40,1,18.58
216,64,80,3,35.25
217,64,68,7,74.57
218,64,85,1,7.91
219,65,68,2,71.13
220,65,69,8,31.61
221,65,46,8,21.59
222,65,7,9,78.64
223,66,16,2,39.39
224,66,29,6,42.76
225,66,47,10,14.90
226,67,79,1,24.78
227,67,86,1,7.77
228,67,31,8,31.07
229,68,72,5,34.95
230,68,42,1,104.65
231,68,93,3,53.25
232,68,38,7,29.35
233,69,48,1,58.84
234,70,43,3,64.65
235,70,16,8,39.01
236,70,80,5,38.62
237,70,58,8,34.05
238,70,28,4,81.87
239,71,5,2,57.51
240,71,40,2,18.45
241,71,77,5,33.74
242,71,86,1,7.66
243,71,59,5,10.58
244,71,62,2,42.61
245,72,100,9,27.80
246,72,98,4,14.89
247,72,59,1,12.47
248,72,84,8,4.54
249,73,83,3,2.65
250,73,47,1,12.13
251,74,1,3,53.88
252,74,33,8,26.54
253,74,40,6,19.76
254,74,43,4,55.81
255,74,29,6,40.75
256,75,8,8,44.29
257,75,40,10,19.69
258,76,40,8,18.07
259,76,58,8,31.86
260,76,52,3,10.27
261,77,68,2,84.01
262,77,10,9,12.74
263,77,42,5,92.53
264,77,45,8,22.96
265,77,53,1,69.73
266,77,59,10,10.47
267,78,64,1,29.44
268,78,58,5,38.64
269,79,98,7,11.80
270,79,100,2,24.43
271,79,42,3,98.68
272,79,82,7,13.93
273,79,58,6,36.36
274,80,61,6,42.51
275,80,46,6,22.46
276,81,43,8,70.53
277,81,50,3,95.69
278,81,54,1,51.91
279,81,89,6,6.02
280,81,58,3,38.77
281,82,98,3,13.90
282,82,66,9,27.86
283,82,68,10,84.33
284,82,42,7,98.67
285,82,46,6,24.61
286,82,95,3,22.36
287,83,64,7,33.02
288,83,98,4,13.62
289,83,3,3,221.09
290,83,70,4,81.46
291,83,61,4,40.45
292,84,8,8,42.53
293,84,18,10,30.75
294,84,4,4,22.77
295,85,98,10,11.75
296,85,55,3,38.19
297,86,50,1,90.60
298,86,98,7,14.16
299,87,100,2,28.65
300,87,40,10,20.47
301,87,9,9,43.70
302,87,46,8,23.04
303,87,89,1,5.92
304,88,5,9,50.68
305,88,86,8,8.18
306,88,79,2,24.57
307,89,22,10,15.84
308,90,77,6,34.06
309,91,97,2,23.41
310,91,84,2,4.48
311,92,40,8,17.92
312,92,36,8,13.87
313,92,54,10,56.98
314,92,95,1,20.08
315,93,40,6,17.47
316,93,22,5,17.46
317,94,24,8,142.85
318,94,98,3,14.13
319,94,66,3,29.00
320,95,89,4,5.50
321,95,62,4,33.89
322,96,100,10,26.02
323,96,40,6,21.58
324,96,77,10,37.17
325,96,82,6,13.88
326,96,60,7,16.59
327,97,89,2,6.27
328,97,42,5,91.72
329,97,68,3,66.10
330,97,53,2,61.46
331,98,2,9,85.94
332,98,66,4,30.31
333,98,82,1,11.95
334,98,55,2,33.40
335,98,59,9,13.43
336,98,31,9,30.46
337,99,10,4,14.13
338,99,48,3,58.01
339,99,84,4,5.01
340,99,87,8,9.22
341,99,58,10,32.15
342,100,58,2,39.53
343,100,12,3,118.54
344,100,30,1,29.87
345,101,34,8,42.15
346,101,60,1,14.38
347,102,10,8,13.77
348,102,84,9,4.28
349,102,53,10,67.96
350,103,40,8,20.49
351,103,2,4,84.92
352,103,95,10,22.22
353,103,47,1,14.11
354,104,82,9,11.22
355,104,61,5,44.84
356,104,54,5,61.24
357,105,40,5,19.53
358,105,89,2,6.19
359,105,38,3,36.13
360,106,56,7,21.85
361,106,1,2,52.18
362,106,94,8,22.33
363,106,54,9,50.93
364,107,16,5,33.32
365,107,30,6,29.68
366,108,33,4,26.99
367,108,98,3,14.52
368,108,69,10,34.01
369,108,70,6,86.80
370,108,52,8,12.94
371,109,34,6,45.44
