product_id,product_name,category_id,current_price,created_at
1,Wireless Keyboard,1,52.08,2023-01-26 23:17:00
2,Bluetooth Headphones,1,82.19,2023-05-23 23:06:00
3,Smart Watch,1,209.55,2024-07-12 02:37:00
4,USB-C Charger,1,24.40,2023-01-31 02:13:00
5,Portable Speaker,1,55.10,2024-09-08 00:35:00
6,Noise-Cancelling Earbuds,1,117.35,2024-10-27 22:34:00
7,4K Webcam,1,77.58,2024-04-04 18:17:00
8,Mechanical Mouse,1,43.70,2023-01-07 05:44:00
9,Power Bank 20000mAh,1,43.96,2023-10-12 04:13:00
10,HDMI Cable 2m,1,14.77,2023-12-11 03:05:00
11,Coffee Maker,2,67.47,2024-01-03 11:38:00
12,Air Fryer,2,110.59,2023-02-14 23:29:00
13,Blender 1.5L,2,55.50,2024-01-23 02:35:00
14,Electric Kettle,2,32.82,2024-10-05 19:56:00
15,Non-Stick Frying Pan,2,30.48,2024-08-14 06:45:00
16,Dinner Plate Set,2,38.32,2024-11-08 07:49:00
17,Vacuum Cleaner,2,177.06,2023-03-23 07:55:00
18,Toaster 2-Slice,2,35.20,2023-10-12 14:40:00
19,Knife Block Set,2,86.92,2023-06-16 11:22:00
20,Food Storage Containers,2,20.99,2023-10-01 22:59:00
21,Running Shoes,3,105.50,2023-03-15 19:40:00
22,Cotton T-Shirt,3,18.02,2025-01-16 07:10:00
23,Denim Jeans,3,59.22,2023-10-04 20:44:00
24,Winter Jacket,3,151.55,2024-12-02 10:53:00
25,Wool Socks 3-Pack,3,16.20,2023-02-27 07:52:00
26,Baseball Cap,3,15.04,2023-11-20 12:17:00
27,Leather Belt,3,26.09,2024-08-03 22:20:00
28,Rain Jacket,3,81.33,2024-05-26 12:56:00
29,Hoodie,3,50.60,2024-04-14 04:16:00
30,Silk Scarf,3,31.22,2025-02-01 17:34:00
31,Python Programming Book,4,37.14,2024-08-21 13:57:00
32,SQL for Data Analysis,4,35.36,2024-01-06 07:08:00
